,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
53,2019,77.691,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
54,2020,77.928,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
55,2010,10.2,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
56,2011,9.6,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
57,2012,9.0,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
58,2013,8.6,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
59,2014,8.4,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
60,2015,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
61,2016,8.2,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
62,2017,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
63,2018,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
64,2019,8.1,SH.STA.SUIC.P5,CHN,China,East Asia & Pacific,Upper middle income,IBRD
65,2010,14.6,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
66,2011,14.7,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
67,2012,14.3,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
68,2013,13.7,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
69,2014,12.8,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
70,2015,12.3,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
71,2016,12.1,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
72,2017,12.0,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
73,2018,12.6,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
74,2019,12.7,SH.STA.SUIC.P5,IND,India,South Asia,Lower middle income,IBRD
75,2010,2.6,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
76,2011,2.6,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
77,2012,2.5,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
78,2013,2.5,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
79,2014,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
80,2015,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
81,2016,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
82,2017,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
83,2018,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
84,2019,2.4,SH.STA.SUIC.P5,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
85,2010,38.1,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
86,2011,35.9,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
87,2012,34.4,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
88,2013,33.5,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
89,2014,33.8,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
90,2015,32.0,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
91,2016,31.0,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
92,2017,28.2,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
93,2018,27.1,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
94,2019,25.1,SH.STA.SUIC.P5,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
95,2010,2.4,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
96,2011,2.2,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
97,2012,2.2,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
98,2013,2.3,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
99,2014,2.3,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
100,2015,2.3,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
101,2016,2.3,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
102,2017,2.3,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
103,2018,2.3,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
104,2019,2.4,SH.STA.SUIC.P5,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
105,2010,1337705000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
106,2011,1345035000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
107,2012,1354190000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
108,2013,1363240000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
109,2014,1371860000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
110,2015,1379860000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
111,2016,1387790000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
112,2017,1396215000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
113,2018,1402760000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
114,2019,1407745000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
115,2020,1411100000.0,SP.POP.TOTL,CHN,China,East Asia & Pacific,Upper middle income,IBRD
116,2010,1234281163.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
117,2011,1250287939.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
118,2012,1265780243.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
119,2013,1280842119.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
120,2014,1295600768.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
121,2015,1310152392.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
122,2016,1324517250.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
123,2017,1338676779.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
124,2018,1352642283.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
125,2019,1366417756.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
126,2020,1380004385.0,SP.POP.TOTL,IND,India,South Asia,Lower middle income,IBRD
127,2010,241834226.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
128,2011,245115988.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
129,2012,248451714.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
130,2013,251805314.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
131,2014,255128076.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
132,2015,258383257.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
133,2016,261556386.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
134,2017,264650969.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
135,2018,267670549.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
136,2019,270625567.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
137,2020,273523621.0,SP.POP.TOTL,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
138,2010,142849468.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
139,2011,142960908.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
140,2012,143201721.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
141,2013,143506995.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
142,2014,143819667.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
143,2015,144096870.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
144,2016,144342397.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
145,2017,144496739.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
146,2018,144477859.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
147,2019,144406261.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
148,2020,144073139.0,SP.POP.TOTL,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
149,2010,72326992.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
150,2011,73443254.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
151,2012,74651046.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
152,2013,75925454.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
153,2014,77229262.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
154,2015,78529413.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
155,2016,79827868.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
156,2017,81116451.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
157,2018,82340090.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
158,2019,83429607.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
159,2020,84339067.0,SP.POP.TOTL,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
160,2010,9254.7796034297,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
161,2011,10292.9404780675,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
162,2012,11168.6972979775,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
163,2013,11872.4973811617,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
164,2014,12480.3385303781,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
165,2015,12897.5022868592,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
166,2016,13483.3772665319,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
167,2017,14243.5326108491,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
168,2018,15495.5484221015,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
169,2019,16652.0988008531,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
170,2020,17189.281794248,NY.GDP.PCAP.PP.CD,CHN,China,East Asia & Pacific,Upper middle income,IBRD
171,2010,4237.208788095,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
172,2011,4493.6694656757,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
173,2012,4861.156152362,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
174,2013,5057.2334137482,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
175,2014,5233.8823425132,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
176,2015,5464.8591780094,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
177,2016,5839.8648167534,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
178,2017,6182.9221085744,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
179,2018,6669.6227843001,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
180,2019,6971.6872764783,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
181,2020,6525.4280520948,NY.GDP.PCAP.PP.CD,IND,India,South Asia,Lower middle income,IBRD
182,2010,8506.6805646553,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
183,2011,9095.7417229551,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
184,2012,9713.9004873063,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
185,2013,10067.465744305,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
186,2014,10278.1773057998,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
187,2015,10247.2063381531,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
188,2016,10494.4738000481,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
189,2017,10935.6317158256,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
190,2018,11643.3973183439,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
191,2019,12310.6273684591,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
192,2020,12072.4399629246,NY.GDP.PCAP.PP.CD,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
193,2010,20490.126953125,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
194,2011,22798.673828125,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
195,2012,24303.47265625,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
196,2013,26073.875,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
197,2014,25761.6484375,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
198,2015,24085.32421875,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
199,2016,24128.0859375,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
200,2017,25926.443359375,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
201,2018,28821.26171875,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
202,2019,30067.740234375,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
203,2020,29916.013671875,NY.GDP.PCAP.PP.CD,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
204,2010,17542.1974989753,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
205,2011,19799.1156771937,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
206,2012,20772.4989492004,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
207,2013,22438.7142497217,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
208,2014,24090.2360374724,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
209,2015,25753.3905100464,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
210,2016,26512.0169514886,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
211,2017,27913.8187158996,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
212,2018,27960.980283621,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
213,2019,26867.470307977,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
214,2020,27235.4258308094,NY.GDP.PCAP.PP.CD,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
